Genus	Species	Strain ID	NCBI BioProject ID	NCBI SRA Run	BioSample	JGI IMG ID	# of Reads	N contigs	N50	Habitat	Location
Komarekiella	atlantica	HA4396-MV6	PRJNA650825	SRP290118	SAMN14515350	3300038556				tropical vernal pool	Hawaii, USA
Lyngbya	sp.	HA4199-MV5	PRJNA621654	SRP259784	SAMN15720683	3300034630				tropical soil	Hawaii, USA
Mojavia	pulchra	JT2-VF2	PRJNA650826	SRP290117	SAMN14515071	3300038557				desert soil	California, USA
Nodosilinea	sp.	WJT8-NPBG4	PRJNA621656	SRP259786	SAMN14502839	3300035001				desert soil	California, USA
Nostoc	desertorum	CM1-VF14	PRJNA617101	SRP274230	SAMN14515641	3300036444				desert soil	California, USA
Nostoc	indistinguendum	CM1-VF10	PRJNA621666	SRP259805	SAMN14515345	3300035011				desert soil	California, USA
Oscillatoria	tanganyikae	FI6-MK23	PRJNA621665	SRP259804	SAMN14502547	3300035010				desert soil	California, USA
Pegethrix	bostrychoides	GSE-TBD4-15B	PRJNA617102	SRP274234	SAMN15741584	3300036394				desert wet wall	Utah, USA
Pelatocladus	maniniholoensis	HA4357-MV3	PRJNA653494	SRP284462	SAMN14502588	3300037800				cave rock wall	Hawaii, USA
Plectolynbya	sp.	WJT66-NPBG17	PRJNA617103	SRP274235	SAMN16773122	3300036395				desert soil	California, USA
Pleurocapsa	minor	HA4230-MV1	PRJNA617104	SRP274239	SAMN14503063	3300036396				tropical rock wall	Hawaii, USA
Pleurocapsa	minor	GSE-CHR-MK-17-07R	PRJNA677054	SRP296748	SAMN14502548	3300039304				desert wet wall	Utah, USA
Scytolyngbya	sp.	HA4215-MV1	PRJNA617105	SRP274242	SAMN14502557	3300036104				freshwater stream	Hawaii, USA
Scytonema	hyalinum	WJT4-NPBG1	PRJNA617106	SRP274248	SAMN15740544	3300036520				desert soil	California, USA
Scytonematopsis	contorta	HA4267-MV1	PRJNA653495	SRP284474	SAMN17022865	3300037859				tropical vernal pool	Hawaii, USA
Spirirestis	raphaelensis	WJT71-NPBG6	PRJNA683097	SRP297693	SAMN14502556	3300042538				desert soil	California, USA
Stenomitos	rutilens	HA7619-LM2	PRJNA617107	SRP274253	SAMN14502647	3300036446				cave rock wall	Hawaii, USA
Symplocastrum	torsivum	CPER-KK1	PRJNA617108	SRP274256	SAMN14515552	3300036521				grassland soil	Colorado, USA
Tildeniella	nuda	ZEHNDER 1965/U140	PRJNA621657	SRP259788	SAMN15741586	3300035002				temperate wet wall	Swizerland
Tildeniella	torsiva	UHER 1998/13D	PRJNA653496	SRP284490	SAMN14515347	3300037860				temperate wet wall	Slovakia
Timaviella	obliquedivisa	GSE-PSE-MK23-08B	PRJNA621673	SRP259817	SAMN14515569	3300035018				desert wet wall	Utah, USA
Tolypothrix	brevis	GSE-NOS-MK-07-07A	PRJNA621662	SRP259802	SAMN14515066	3300035007				desert wet wall	Utah, USA
Tolypothrix	carrinoi	HA7290-LM1	PRJNA621663	SRP259800	SAMN14515066	3300035008				cave rock wall	Hawaii, USA
